"","Total de captures","Succès de pêche (poissons/j-p)","Masse moyenne(g)","Plan d'eau","Espèce","Année","Réserve/Parc","Secteur"
"1",27,"3.0","379","Advent, Lac","Omble de fontaine",2019,"Rouge-Matawin",NA
"2",2,"0.7",NA,"Armes, Lac D'","Omble de fontaine",2019,"Rouge-Matawin",NA
"3",76,"3.1","128","Aubinot, Lac","Omble de fontaine",2019,"Rouge-Matawin",NA
"4",102,"5.8","231","Audelin, Lac D'","Omble de fontaine",2019,"Rouge-Matawin",NA
"5",28,"7.0",NA,"Babiole, Ruisseau","Omble de fontaine",2019,"Rouge-Matawin",NA
"6",101,"5.9","137","Baies, Lac des","Omble de fontaine",2019,"Rouge-Matawin",NA
"7",1,"0.5",NA,"Baillon, Lac","Omble de fontaine",2019,"Rouge-Matawin",NA
"8",479,"2.5","182","Boulard, Lac","Omble de fontaine",2019,"Rouge-Matawin",NA
"9",15,"1.9","304","Bourasseau, Lac","Omble de fontaine",2019,"Rouge-Matawin",NA
"10",511,"4.6","185","Butte, Lac de la","Omble de fontaine",2019,"Rouge-Matawin",NA
"11",7,"8.5","71","Butte, Ruisseau de la","Omble de fontaine",2019,"Rouge-Matawin",NA
"12",70,"5.9","290","Castos, Lac","Omble de fontaine",2019,"Rouge-Matawin",NA
"13",42,"7.5","370","Cécilia, Lac","Omble de fontaine",2019,"Rouge-Matawin",NA
"14",14,"7.0","146","Chapelin, Lac","Omble de fontaine",2019,"Rouge-Matawin",NA
"15",37,"4.1","309","Chasy, Lac","Omble de fontaine",2019,"Rouge-Matawin",NA
"16",14,"1.6","448","Chavoy, Lac","Omble de fontaine",2019,"Rouge-Matawin",NA
"17",1093,"1.6","253","Cinq Doigts, Lac","Omble de fontaine",2019,"Rouge-Matawin",NA
"18",249,"2.1","189","Cirier, Lac","Omble de fontaine",2019,"Rouge-Matawin",NA
"19",127,"1.9","220","Coivrel, Lac","Omble de fontaine",2019,"Rouge-Matawin",NA
"20",35,"6.7","207","Côté, Lac","Omble de fontaine",2019,"Rouge-Matawin",NA
"21",4,"0.7","313","Danis, Lac","Omble de fontaine",2019,"Rouge-Matawin",NA
"22",6,"2.0","333","Davis, Lac","Omble de fontaine",2019,"Rouge-Matawin",NA
"23",35,"5.8","217","Davis, Petit lac","Omble de fontaine",2019,"Rouge-Matawin",NA
"24",244,"1.6","164","Dumbo, Lac","Omble de fontaine",2019,"Rouge-Matawin",NA
"25",2,"1.0",NA,"Éden, Lac","Omble de fontaine",2019,"Rouge-Matawin",NA
"26",42,"11.3","95","Élévation, Lac de l'","Omble de fontaine",2019,"Rouge-Matawin",NA
"27",84,"1.3","196","Fernand, Lac","Omble de fontaine",2019,"Rouge-Matawin",NA
"28",171,"5.0","123","Forbin, Lac","Omble de fontaine",2019,"Rouge-Matawin",NA
"29",132,"5.4","200","Fournet, Lac","Omble de fontaine",2019,"Rouge-Matawin",NA
"30",2,"2.0","227","French, Lac","Omble de fontaine",2019,"Rouge-Matawin",NA
"31",46,"4.9","162","French, Ruisseau","Omble de fontaine",2019,"Rouge-Matawin",NA
"32",101,"0.9","410","Froid, Lac","Omble de fontaine",2019,"Rouge-Matawin",NA
"33",40,"1.1","341","Froid, Petit lac","Omble de fontaine",2019,"Rouge-Matawin",NA
"34",112,"2.4","148","Froid, Ruisseau","Omble de fontaine",2019,"Rouge-Matawin",NA
"35",14,"7.0","121","Goblin GR et PT Lacs","Omble de fontaine",2019,"Rouge-Matawin",NA
"36",14,"0.4","502","Grandive, Lac","Omble de fontaine",2019,"Rouge-Matawin",NA
"37",768,"4.4","168","Grasmère, Lac","Omble de fontaine",2019,"Rouge-Matawin",NA
"38",60,"4.4","238","Greslon Rond, Lac","Omble de fontaine",2019,"Rouge-Matawin",NA
"39",14,"9.0","96","Gros Bec, Lac","Omble de fontaine",2019,"Rouge-Matawin",NA
"40",133,"3.5","240","Haute Terre, Lac de la","Omble de fontaine",2019,"Rouge-Matawin",NA
"41",16,"0.9","338","Héricy, Lac","Omble de fontaine",2019,"Rouge-Matawin",NA
"42",87,"2.7","206","Higginson, Lac","Omble de fontaine",2019,"Rouge-Matawin",NA
"43",14,"7.0",NA,"Higginson, Ruisseau","Omble de fontaine",2019,"Rouge-Matawin",NA
"44",48,"5.4","111","Hirondelle, Lac à l'","Omble de fontaine",2019,"Rouge-Matawin",NA
"45",39,"4.9","319","Hoyt, Lac","Omble de fontaine",2019,"Rouge-Matawin",NA
"46",8,"6.0","389","Jacques, Lac","Omble de fontaine",2019,"Rouge-Matawin",NA
"47",87,"2.0","158","Jamet, Rivière","Omble de fontaine",2019,"Rouge-Matawin",NA
"48",21,"2.1","357","Java, Étang","Omble de fontaine",2019,"Rouge-Matawin",NA
"49",70,"2.3","568","Jésuites, Lac des","Omble de fontaine",2019,"Rouge-Matawin",NA
"50",3,"2.0","400","Kendra, Lac","Omble de fontaine",2019,"Rouge-Matawin",NA
"51",73,"6.1","204","Lamanon, Lac","Omble de fontaine",2019,"Rouge-Matawin",NA
"52",12,"6.0","183","Lège, Lac","Omble de fontaine",2019,"Rouge-Matawin",NA
"53",68,"1.1","287","Lenoir, Lac","Omble de fontaine",2019,"Rouge-Matawin",NA
"54",74,"3.5","190","Lenoir, Rivière","Omble de fontaine",2019,"Rouge-Matawin",NA
"55",90,"1.8","85","Macaza, Rivière","Omble de fontaine",2019,"Rouge-Matawin",NA
"56",221,"2.4","155","Mandin, Lac","Omble de fontaine",2019,"Rouge-Matawin",NA
"57",14,"7.0","179","Mazet, Lac","Omble de fontaine",2019,"Rouge-Matawin",NA
"58",293,"2.6","189","McIntyre, Lac","Omble de fontaine",2019,"Rouge-Matawin",NA
"59",27,"2.2","371","McIntyre, Petit lac","Omble de fontaine",2019,"Rouge-Matawin",NA
"60",184,"2.7","326","McRae, Lac","Omble de fontaine",2019,"Rouge-Matawin",NA
"61",9,"4.5","194","Métru, Lac","Omble de fontaine",2019,"Rouge-Matawin",NA
"62",191,"2.1","207","Moranger, Lac","Omble de fontaine",2019,"Rouge-Matawin",NA
"63",78,"2.8","107","Ninville, Lac","Omble de fontaine",2019,"Rouge-Matawin",NA
"64",14,"1.6","256","Pantin, Lac","Omble de fontaine",2019,"Rouge-Matawin",NA
"65",10,"5.0","148","Parement, Lac","Omble de fontaine",2019,"Rouge-Matawin",NA
"66",7,"3.5","143","Pécody, Lac","Omble de fontaine",2019,"Rouge-Matawin",NA
